order_id,customer_id,store_id,order_date,payment_method,status
ORD000001,C00018,ST005,2026-07-08 13:27:16,e-wallet,completed
ORD000002,C00027,ST003,2026-07-08 14:00:33,credit_card,pending
ORD000003,C00016,ST002,2026-07-08 14:00:53,bank_transfer,completed
ORD000004,C00012,ST004,2026-07-08 14:05:38,e-wallet,cancelled
ORD000005,C00029,ST003,2026-07-08 13:59:46,bank_transfer,cancelled
ORD000006,C00031,ST002,2026-07-08 13:30:30,qris,pending
ORD000007,C00018,ST003,2026-07-08 13:21:19,credit_card,pending
ORD000008,C00001,ST002,2026-07-08 13:42:19,cod,pending
ORD000009,C00006,ST003,2026-07-08 13:42:42,cod,pending
ORD000010,C00007,ST004,2026-07-08 13:41:07,cod,pending
ORD000011,C00017,ST005,2026-07-08 13:38:29,credit_card,pending
ORD000012,C00015,ST004,2026-07-08 13:41:29,qris,pending
ORD000013,C00023,ST002,2026-07-08 14:00:01,cod,completed
ORD000013,C00023,ST002,2026-07-08 14:00:01,cod,pending
ORD000014,C00010,ST001,2026-07-08 13:25:16,e-wallet,pending
ORD000001,C00018,ST005,2026-07-08 13:27:16,e-wallet,completed
ORD000003,C00016,ST002,2026-07-08 14:00:53,bank_transfer,completed
ORD000013,C00023,ST002,2026-07-08 14:00:01,cod,completed
